order_year_month,market,order_region,order_country,shipping_mode,delivery_status,order_count,order_item_count,late_item_count,on_time_item_count,advance_shipping_item_count,canceled_item_count,late_delivery_rate,avg_real_shipping_days,avg_scheduled_shipping_days,avg_shipping_variance,total_sales,total_profit
2018-01,Pacific Asia,Oceania,Australia,Same Day,Shipping canceled,4,4,0.0,0.0,0.0,4.0,0.0,0.75,0.0,0.75,815.43001557,129.80999466
2016-10,Africa,West Africa,Nigeria,Second Class,Shipping on time,9,32,0.0,32.0,0.0,0.0,0.0,2.0,2.0,0.0,5446.600074869999,1052.1700058290003
2017-07,Europe,Western Europe,Francia,Second Class,Shipping on time,8,27,0.0,27.0,0.0,0.0,0.0,2.0,2.0,0.0,4976.80003333,978.8499919270001
2016-09,Africa,East Africa,Somalia,Second Class,Late delivery,1,5,5.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,701.93001372,251.59000325499997
2017-11,Europe,Northern Europe,Reino Unido,Second Class,Shipping on time,7,7,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,1502.609993,51.809999944999994
2015-12,Pacific Asia,Eastern Asia,China,Standard Class,Advance shipping,66,193,0.0,0.0,193.0,0.0,0.0,2.528497409326425,4.0,-1.471502590673575,38066.30050976996,2126.8500587320004
2016-09,Africa,Southern Africa,SudAfrica,Standard Class,Late delivery,19,50,50.0,0.0,0.0,0.0,1.0,5.6,4.0,1.6,9211.050079530001,2367.7699976770004
2016-08,Africa,East Africa,Tanzania,Standard Class,Advance shipping,2,4,0.0,0.0,4.0,0.0,0.0,2.25,4.0,-1.75,547.47001453,173.679998873
2017-09,Europe,Western Europe,Francia,Standard Class,Advance shipping,65,210,0.0,0.0,210.0,0.0,0.0,2.5714285714285716,4.0,-1.4285714285714286,38899.03030562002,2445.979997783
2016-04,USCA,East of USA,Estados Unidos,Second Class,Late delivery,71,220,220.0,0.0,0.0,0.0,1.0,4.55,2.0,2.55,39945.23044976996,4008.409986277002
2017-01,Europe,Eastern Europe,Rumania,Second Class,Shipping on time,1,3,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,621.91001895,185.18999481
2015-06,Europe,Northern Europe,Finlandia,Second Class,Shipping on time,1,5,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,659.5899962,-2.329999929999996
2015-08,Europe,Northern Europe,Noruega,Second Class,Late delivery,4,14,14.0,0.0,0.0,0.0,1.0,4.571428571428571,2.0,2.5714285714285716,2380.2600098300004,197.709995701
