order_year_month,market,customer_segment,department_name,category_name,product_name,order_count,order_item_count,total_quantity,total_sales,total_profit,total_cost,profit_margin,avg_sales_per_item,avg_discount_rate,avg_profit_ratio
2018-01,Pacific Asia,Home Office,Fitness,Sporting Goods,Smart watch,30,30,30.0,8772.230133100002,1499.7699984999997,7272.460134600001,0.1709679267123831,292.40767110333337,0.10800000019999997,0.16533333149999999
2016-03,Pacific Asia,Home Office,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,91,104,306.0,13624.25,1522.4600108079999,12101.789989192004,0.11174633545391488,131.00240384615384,0.10442307734615389,0.07365384585576921
2017-11,Europe,Consumer,Technology,Consumer Electronics,Industrial consumer electronics,77,77,77.0,17478.979965799997,2119.739986768001,15359.239979032001,0.12127366647914013,226.99973981558438,0.10272727298701301,0.121818180025974
2016-05,USCA,Consumer,Footwear,Electronics,Under Armour Men's Compression EV SL Slide,5,5,15.0,622.44001386,131.19000244,491.2500114200001,0.21076730209942354,124.488002772,0.06200000139999999,0.2460000016
2016-09,Africa,Consumer,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,64,69,211.0,19018.049842899993,3869.629963777,15148.419879123001,0.20347143875120552,275.62391076666654,0.10217391334782609,0.2294202893043478
2016-10,Africa,Consumer,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,104,124,354.0,19237.49025002,1711.7899814309997,17525.700268589,0.08898198045502427,155.1410504033871,0.09620967782258072,0.07338709679838708
2016-02,Pacific Asia,Corporate,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,133,163,509.0,27436.340435559992,3677.5600093479993,23758.780426212,0.1340397425810312,168.3211069666257,0.10141104346625776,0.13779141117177918
2017-09,Europe,Consumer,Footwear,As Seen on  TV!,Nike Men's Free TR 5.0 TB Training Shoe,1,1,5.0,464.9500122,174.3600006,290.5900116,0.3750080568338568,464.9500122,0.07,0.379999995
2017-05,LATAM,Corporate,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,49,62,187.0,8299.5,1138.780000749,7160.719999251,0.13721067543213447,133.86290322580646,0.11870967804838709,0.12354838808064518
2016-04,Pacific Asia,Home Office,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6,10,24.0,1137.75,165.460001014,972.289998986,0.145427379489343,113.775,0.0849999994,-0.028999988799999987
2017-08,Europe,Home Office,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,65,74,223.0,9833.5,1135.9399961740003,8697.560003826,0.11551736372339455,132.88513513513513,0.11297297389189191,0.0828378370945946
2015-10,Europe,Home Office,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,49,58,162.0,7312.75,575.470013372,6737.279986628001,0.07869406357006599,126.08189655172414,0.1000000003275862,-0.00741379096551725
2015-08,Europe,Consumer,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,215,260,782.0,41910.36047847998,4066.380003776001,37843.98047470399,0.0970256508737021,161.19369414799993,0.10623076988461547,0.09200000033076922
2016-10,Europe,Consumer,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,37,44,44.0,5268.4599911600035,723.3799756149999,4545.080015544998,0.1373038756731124,119.73772707181826,0.07909090934090907,0.14022727324999998
2015-07,Europe,Consumer,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,203,239,713.0,38424.35051017001,4223.760013239001,34200.590496930985,0.1099240444447089,160.77134104673644,0.10322175772803355,0.11765690400000005
2017-02,LATAM,Consumer,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,109,133,398.0,21467.320259250006,2612.0800148190006,18855.240244430985,0.12167704134816208,161.40842300187975,0.09924812051127825,0.13947368409022556
2015-12,Pacific Asia,Consumer,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,263,328,949.0,51366.780659480006,5766.629989149002,45600.15067033101,0.11226379997175744,156.60603859597563,0.09756097590243898,0.12310975628353664
2016-10,Pacific Asia,Consumer,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,12,12,37.0,1743.0,105.059996571,1637.9400034289997,0.06027538529604131,145.25,0.07416666758333333,0.12416666691666667
2017-07,Europe,Consumer,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,228,270,794.0,42760.96062524997,5506.7700354350045,37254.19058981501,0.12878031631925746,158.37392824166656,0.10285185235555551,0.12640740669629633
2017-12,Pacific Asia,Corporate,Fitness,Sporting Goods,Smart watch,37,37,37.0,10868.200103800002,1468.2899949800003,9399.91010882,0.13509964676364594,293.7351379405406,0.10405405448648648,0.1327027013783784
2016-03,Pacific Asia,Home Office,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,124,154,449.0,23977.62023227999,-49.18008382200034,24026.800316101995,-0.0020510827740857873,155.6988326771428,0.10681818234415591,0.04701298722077924
2015-12,Pacific Asia,Home Office,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,80,103,303.0,13584.25,1776.1000097309989,11808.149990269001,0.13074700551970103,131.8859223300971,0.10048543750485436,0.1411650469223301
2015-06,Europe,Home Office,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,47,56,56.0,20106.920532799988,1715.0900002699998,18391.830532530003,0.08529849200290071,359.05215237142835,0.10250000082142854,0.08910714307142857
2017-08,Europe,Home Office,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,59,67,67.0,7705.079918040003,1528.059986873,6177.019931166999,0.19831851234863035,115.0011928065672,0.1155223889552239,0.19671641826865668
2015-08,Europe,Consumer,Outdoors,Golf Balls,Glove It Women's Mod Oval Golf Glove,6,6,16.0,282.14999388999996,104.35999906100001,177.78999482900002,0.36987418508215947,47.02499898166666,0.11500000116666666,0.30666666699999995
2016-10,Europe,Consumer,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,25,28,28.0,7710.940216199996,340.77999861,7370.160217589998,0.04419435102013263,275.3907220071427,0.08214285739285712,0.047857142821428576
2017-06,Europe,Consumer,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,44,47,47.0,12611.110305899989,783.6100026439999,11827.500303255996,0.06213647994795473,268.3214958702125,0.1057446814255319,0.059787233489361685
2015-09,Europe,Consumer,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,104,112,336.0,12084.510064180004,1169.570014214999,10914.940049965,0.09678257604184969,107.89741128732146,0.09857142922321437,0.11437500059821426
2016-11,Europe,Consumer,Footwear,Cardio Equipment,Nike Women's Tempo Shorts,1,1,4.0,114.0,35.34000015,78.65999984999999,0.3100000013157895,114.0,0.050000001,0.310000002
2016-01,Pacific Asia,Consumer,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,126,139,420.0,15100.310069169991,1307.3400092569996,13792.970059913,0.086577030754234,108.63532423863303,0.0992086334532375,0.07215827258992803
2016-12,Europe,Corporate,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,8,9,20.0,1782.8199767400001,304.12999532099997,1478.689981419,0.1705892907241936,198.0911085266667,0.103333333,0.12888888833333334
2017-01,Europe,Consumer,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,21,24,79.0,3638.0,361.320011614,3276.6799883859994,0.09931830995437053,151.58333333333334,0.0941666667083333,0.06791667070833333
2016-10,Europe,Consumer,Footwear,Electronics,Under Armour Men's Compression EV SL Slide,2,2,9.0,366.66999810000004,116.35000228999999,250.31999581,0.3173153050233154,183.33499905000002,0.10500000150000001,0.329999998
2015-12,Pacific Asia,Corporate,Outdoors,Electronics,Titleist Pro V1x Golf Balls,3,3,3.0,130.52999878,10.549999241999998,119.979999538,0.08082432651961753,43.50999959333333,0.09333333433333334,0.04333332199999999
2016-05,USCA,Corporate,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,188,233,711.0,38517.62058287998,5601.339964215005,32916.280618665005,0.14542279298282113,165.3116763213733,0.09854077300858372,0.14592274719313295
2016-07,USCA,Corporate,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,77,82,248.0,22195.199821519996,4485.319992456,17709.879829063997,0.20208513680994794,270.6731685551219,0.10780487878048779,0.19865853715853649
2016-04,USCA,Corporate,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,89,107,337.0,29956.46973411998,4763.889988503001,25192.579745616997,0.15902708265643867,279.96700686093436,0.10588785135514023,0.14644859894392526
2016-08,USCA,Corporate,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,78,82,236.0,21170.33979765999,2013.8800040710007,19156.459793588987,0.0951274293808737,258.1748755812194,0.10170731810975611,0.03731707292682927
2016-06,USCA,Corporate,Golf,Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,2,2,3.0,196.70000455000002,33.7300005,162.97000405,0.17147940884478236,98.35000227500001,0.050000001999999995,0.2100000085
2016-07,USCA,Corporate,Outdoors,Accessories,Team Golf Texas Longhorns Putter Grip,2,2,4.0,94.45999908,11.71999931,82.73999977,0.12407367588553654,47.22999954,0.055000002,0.134999998
2016-08,USCA,Corporate,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,89,94,294.0,10667.860085799999,1708.880003523,8958.980082277005,0.1601895778327363,113.48787325319148,0.09500000039361703,0.1460638283510638
2015-09,Europe,Corporate,Footwear,Fitness Accessories,Under Armour Hustle Storm Medium Duffle Bag,2,2,5.0,161.29999924,30.74000073,130.55999850999999,0.190576570829747,80.64999962,0.0900000025,0.20499999800000002
2015-10,Europe,Corporate,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,96,120,357.0,19320.850341970006,2124.6899923299993,17196.160349639995,0.10996876197082328,161.00708618308337,0.09875000035000006,0.11008333388333336
2016-08,USCA,Corporate,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,3,3,6.0,124.08000182999999,-23.300001621,147.380003451,-0.18778208637458724,41.36000060999999,0.05999999966666667,-0.029999991333333347
2016-07,USCA,Corporate,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,4,4,11.0,206.80000305,68.289999485,138.510003565,0.33022242977670013,51.7000007625,0.12749999850000002,0.31500000875
2016-05,USCA,Home Office,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,1,1,1.0,18.26000023,1.610000014,16.650000216,0.08817086493541627,18.26000023,0.170000002,0.090000004
2016-04,USCA,Consumer,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,3,3,5.0,91.52000237,20.150000209999998,71.37000216,0.22017045113850556,30.506667456666666,0.173333337,0.22666666533333335
2016-04,USCA,Home Office,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,2,2,3.0,54.12000275,-2.2899999589999993,56.410002709,-0.04231337477158571,27.060001375,0.180000007,-0.200000003
2016-01,Pacific Asia,Corporate,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,6,6,18.0,356.84000206,130.18999791800002,226.650004142,0.3648413775541609,59.47333367666667,0.086666666,0.3016666738333333
2015-11,Pacific Asia,Corporate,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,1,1,3.0,63.36000061,7.159999847,56.200000763,0.11300504700231884,63.36000061,0.039999999,0.109999999
2015-10,Europe,Consumer,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,4,4,13.0,232.54000473000002,-4.180001266000001,236.720005996,-0.017975407159956675,58.135001182500005,0.1800000035,0.03249999849999999
2015-07,Europe,Consumer,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,3,4,7.0,134.6400013,-24.35999727,158.99999857,-0.18092689419782412,33.660000325,0.11750000075,-0.30499999975000003
2015-06,Europe,Home Office,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,2,2,7.0,149.59999847,19.349999428,130.249999042,0.1293449172854126,74.799999235,0.0250000005,0.1300000025
2017-03,LATAM,Corporate,Fitness,Hockey,Nike Women's Legend V-Neck T-Shirt,1,1,5.0,105.0,-18.37999916,123.37999916,-0.17504761104761904,105.0,0.159999996,-0.180000007
2016-12,Africa,Consumer,Fitness,Hockey,Nike Women's Legend V-Neck T-Shirt,2,2,5.0,118.25,-2.3699998840000003,120.619999884,-0.020042282317124738,59.125,0.060000000500000004,0.12500000749999998
2016-12,Europe,Home Office,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,14,17,17.0,4496.680068899999,510.86000889499996,3985.8200600049995,0.1136082623329636,264.5105922882353,0.11823529470588234,0.10117646676470587
2015-05,LATAM,Home Office,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,28,32,32.0,11551.390289599995,2207.62002745,9343.770262149998,0.19111292858294085,360.9809465499998,0.097500000875,0.18312500153124997
2015-01,LATAM,Home Office,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,28,32,32.0,8793.880279799996,399.2900001270004,8394.590279673,0.04540543962648553,274.8087587437499,0.08468750024999995,0.05718750150000006
2015-12,Pacific Asia,Home Office,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,53,58,161.0,14590.009879899999,3059.4899832280007,11530.519896672002,0.20969759502650664,251.55189448103445,0.09344827644827589,0.17965517270689657
2017-04,LATAM,Consumer,Outdoors,Trade-In,Garmin Approach S3 Golf GPS Watch,1,1,1.0,232.4900055,113.9199982,118.5700073,0.4899995505398188,232.4900055,0.07,0.49000001
2015-01,LATAM,Consumer,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,90,104,104.0,12157.209914700006,1936.8299704560002,10220.379944244001,0.15931533501893916,116.89624917980775,0.10076923102884622,0.15250000001923078
2016-03,Pacific Asia,Consumer,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,270,328,328.0,38385.71967945993,6773.680004851,31612.039674608983,0.17646354064518358,117.02963316908514,0.09993902517073175,0.17448170771341454
2015-12,Pacific Asia,Consumer,Outdoors,Electronics,Titleist Pro V1x High Numbers Personalized Go,8,8,17.0,762.6800079300001,83.279999801,679.4000081290001,0.10919389381535168,95.33500099125001,0.13375,0.07500000412499999
2016-02,Pacific Asia,Consumer,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,144,161,161.0,43424.92117379996,3860.570003027001,39564.351170773,0.08890217641560721,269.720007290683,0.10105590126708082,0.09279503106832292
2015-12,Pacific Asia,Consumer,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,202,225,225.0,81169.62222540025,8936.240034147002,72233.382191253,0.11009340427052773,360.7538765573344,0.09835555582222225,0.11111111105777771
2017-10,Europe,Corporate,Book Shop,Books,Sports Books,61,61,61.0,1689.2400112500002,20.969998521999976,1668.270012728,0.012413865633269391,27.692459200819677,0.10934426306557378,0.015081968278688535
2017-06,LATAM,Corporate,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,32,41,41.0,4777.739982440001,781.4900054929998,3996.249976946999,0.16356896950551322,116.53024347414636,0.10390243941463415,0.1619512200487805
2016-12,Pacific Asia,Corporate,Golf,Girls' Apparel,TYR Boys' Team Digi Jammer,1,1,1.0,33.59000015,15.44999981,18.14000034,0.45995831321840586,33.59000015,0.159999996,0.460000008
2016-05,USCA,Corporate,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,111,127,127.0,34259.050873199965,4452.890001604002,29806.160871595992,0.1299770392964211,269.7563060881887,0.10110236262992138,0.13307086518110234
2016-01,Pacific Asia,Corporate,Outdoors,Accessories,Team Golf St. Louis Cardinals Putter Grip,2,2,6.0,121.45999908,13.649999619,107.80999946099999,0.1123826751390751,60.72999954,0.190000005,0.1099999975
2015-11,Pacific Asia,Corporate,Golf,Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,3,3,10.0,654.8500061,297.99999801999996,356.85000807999995,0.4550660383967277,218.28333536666665,0.09000000133333334,0.42666666700000005
2016-04,USCA,Corporate,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,101,116,116.0,31457.220733799964,3714.459973857001,27742.760759942987,0.11807972501098644,271.1829373603445,0.09629310372413799,0.11344827662931029
2015-11,Pacific Asia,Corporate,Fan Shop,Hunting & Shooting,ENO Atlas Hammock Straps,3,3,9.0,247.70999903999999,33.83999968,213.86999936,0.13661135929573656,82.56999968,0.10000000166666667,0.18000000733333332
2015-10,Pacific Asia,Corporate,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,47,54,54.0,6350.609962320002,333.50999641399994,6017.099965906001,0.052516214724697446,117.60388819111114,0.09555555622222224,0.044259257
2015-12,Pacific Asia,Consumer,Footwear,Electronics,Under Armour Kids' Mercenary Slide,6,6,19.0,473.60000997,57.739999176,415.860010794,0.12191722542332192,78.933334995,0.08999999933333332,0.13499999933333331
2015-10,Pacific Asia,Consumer,Golf,Shop By Sport,Columbia Men's PFG Anchor Tough T-Shirt,2,2,8.0,230.4000015,64.22000074799999,166.180000752,0.278732640320751,115.20000075,0.04,0.2750000045
2015-06,Europe,Corporate,Fitness,Tennis & Racquet,Nike Men's Comfort 2 Slide,5,5,17.0,693.53001403,45.080000874,648.4500131560001,0.06500079298954461,138.706002806,0.0800000002,0.1059999998
2017-04,LATAM,Corporate,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,51,64,200.0,9061.5,185.13998866200006,8876.360011337998,0.020431494637973852,141.5859375,0.09437500059375,-0.014843749156250006
2016-04,Pacific Asia,Corporate,Outdoors,Trade-In,Glove It Women's Mod Oval 3-Zip Carry All Gol,1,1,3.0,55.40999985,-11.07999992,66.48999977,-0.19996390452977056,55.40999985,0.159999996,-0.200000003
2016-02,Pacific Asia,Corporate,Outdoors,Golf Balls,Hirzl Women's Soffft Flex Golf Glove,4,4,9.0,134.02999782999999,22.750000418,111.27999741199999,0.16973812419855056,33.507499457499996,0.16500000275,0.1599999955
2015-12,Pacific Asia,Home Office,Fitness,Hockey,Nike Women's Legend V-Neck T-Shirt,3,3,7.0,161.5,37.20999909,124.29000091,0.23040247114551082,53.833333333333336,0.11666666600000002,0.299999997
2015-09,Europe,Consumer,Fitness,Hockey,Nike Women's Legend V-Neck T-Shirt,4,4,11.0,256.3799973,36.109999602,220.26999769800003,0.14084561971403065,64.094999325,0.08499999899999999,0.10499999700000001
2017-09,Europe,Corporate,Fitness,Hockey,Stiga Master Series ST3100 Competition Indoor,9,11,11.0,3426.940032500001,1146.50000286,2280.44002964,0.33455502342817833,311.54000295454557,0.056363635636363645,0.333636366
2016-04,USCA,Consumer,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,285,326,326.0,38046.43970339997,3055.5100048850004,34990.929698515014,0.08031001136255987,116.70687025582814,0.10248466323312885,0.07745398770858894
2017-12,Pacific Asia,Home Office,Apparel,Children's Clothing,Children's heaters,14,14,14.0,4336.9999695999995,1041.6899852099998,3295.30998439,0.2401867633183485,309.7857121142857,0.1328571435,0.24071428378571427
2015-11,Pacific Asia,Home Office,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,74,80,80.0,21448.46051039998,1860.9999686749995,19587.46054172499,0.0867661325983109,268.1057563799997,0.10650000033750003,0.07987500202500002
2016-02,Pacific Asia,Home Office,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,49,56,56.0,14970.420333899987,647.2199956000002,14323.200338300005,0.043233254722607445,267.32893453392836,0.10910714335714287,0.036428569857142844
2017-12,Pacific Asia,Home Office,Discs Shop,Video Games,Fighting video games,39,39,39.0,1359.63999558,-56.26999618799999,1415.9099917680003,-0.04138595243661992,34.86256398923077,0.12307692382051279,-0.03256410282051282
2016-05,USCA,Home Office,Outdoors,Trade-In,Glove It Imperial Golf Towel,2,2,4.0,60.43999959,-36.939999582,97.379999172,-0.6111846431599223,30.219999795,0.060000000500000004,-0.5550000075
2015-01,LATAM,Home Office,Golf,Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,4,4,14.0,889.6999969,200.12000275,689.5799941500001,0.22492975547632038,222.424999225,0.0824999995,0.17000000175
2016-02,Pacific Asia,Home Office,Outdoors,Accessories,Team Golf Tennessee Volunteers Putter Grip,3,3,5.0,117.70000076,4.349999905,113.350000855,0.036958367688289216,39.23333358666667,0.09666666633333333,0.11666666566666667
