customer_key,customer_id,customer_segment,customer_city,customer_country,customer_state,customer_zipcode,customer_latitude,customer_longitude
20755,20755,Consumer,Caguas,Puerto Rico,PR,725.0,18.2514534,-66.03705597
19490,19490,Home Office,Los Angeles,EE. UU.,CA,90027.0,34.12594605,-118.2910156
19489,19489,Corporate,Caguas,Puerto Rico,PR,725.0,18.25376892,-66.03704834
19488,19488,Consumer,Tonawanda,EE. UU.,NY,14150.0,43.01396942,-78.87906647
19487,19487,Home Office,Caguas,Puerto Rico,PR,725.0,18.24253845,-66.03705597
19486,19486,Corporate,Miami,EE. UU.,FL,33162.0,25.92886925,-80.16287231
19485,19485,Corporate,Caguas,Puerto Rico,PR,725.0,18.23322296,-66.03705597
19484,19484,Corporate,San Ramon,EE. UU.,CA,94583.0,37.77399063,-121.966629
19480,19480,Corporate,Caguas,Puerto Rico,PR,725.0,18.27843857,-66.03705597
19479,19479,Corporate,Peabody,EE. UU.,MA,1960.0,42.52627564,-70.92703247
19478,19478,Corporate,Caguas,Puerto Rico,PR,725.0,18.28404999,-66.03705597
19476,19476,Corporate,Paramount,EE. UU.,CA,90723.0,33.89869309,-118.1745605
19475,19475,Consumer,Caguas,Puerto Rico,PR,725.0,18.233778,-66.0370636
19474,19474,Consumer,Mount Prospect,EE. UU.,IL,60056.0,42.04830551,-87.96134186
19473,19473,Corporate,Long Beach,EE. UU.,CA,90813.0,33.78245163,-118.1922455
19472,19472,Corporate,Caguas,Puerto Rico,PR,725.0,18.28337669,-66.03705597
19471,19471,Corporate,Rancho Cordova,EE. UU.,CA,95670.0,38.61177445,-121.2828674
19470,19470,Corporate,Caguas,Puerto Rico,PR,725.0,18.20733643,-66.03705597
19469,19469,Corporate,Billings,EE. UU.,MT,59102.0,45.78831101,-108.5594101
19468,19468,Corporate,Caguas,Puerto Rico,PR,725.0,18.26163292,-66.03705597
19467,19467,Consumer,Wilkes Barre,EE. UU.,PA,18702.0,41.23545456,-75.86985779
19466,19466,Corporate,Caguas,Puerto Rico,PR,725.0,18.27022362,-66.0370636
19465,19465,Corporate,Roseville,EE. UU.,MI,48066.0,41.86886215,-84.57365418
19464,19464,Consumer,Bellflower,EE. UU.,CA,90706.0,33.90942383,-118.1253586
19463,19463,Consumer,Caguas,Puerto Rico,PR,725.0,18.27526093,-66.0370636
19462,19462,Consumer,Wheaton,EE. UU.,IL,60187.0,41.86544037,-88.10990143
19461,19461,Consumer,Caguas,Puerto Rico,PR,725.0,18.28713608,-66.03705597
19460,19460,Consumer,Detroit,EE. UU.,MI,48238.0,42.39110184,-83.13121796
19459,19459,Consumer,Dallas,EE. UU.,TX,75220.0,32.86539459,-96.86858368
19458,19458,Corporate,Caguas,Puerto Rico,PR,725.0,18.24074173,-66.03705597
19457,19457,Corporate,Carlisle,EE. UU.,PA,17013.0,40.03171921,-76.87709808
19456,19456,Corporate,Dallas,EE. UU.,TX,75228.0,32.81010819,-96.68649292
19455,19455,Consumer,Caguas,Puerto Rico,PR,725.0,18.28604889,-66.03705597
19454,19454,Consumer,Newark,EE. UU.,DE,19702.0,39.68188095,-75.64421082
19453,19453,Consumer,Panorama City,EE. UU.,CA,91402.0,34.15893936,-118.1809387
19452,19452,Home Office,Caguas,Puerto Rico,PR,725.0,18.28294563,-66.0370636
19451,19451,Home Office,Atlanta,EE. UU.,GA,30318.0,33.81632614,-84.44550324
19450,19450,Home Office,Caguas,Puerto Rico,PR,725.0,18.24103928,-66.0370636
19449,19449,Consumer,Fremont,EE. UU.,CA,94539.0,37.49027634,-121.9271088
19448,19448,Corporate,Caguas,Puerto Rico,PR,725.0,18.26469612,-66.03705597
19447,19447,Corporate,Rochester,EE. UU.,NY,14609.0,43.18824005,-77.56706238
19446,19446,Corporate,Dallas,EE. UU.,TX,75211.0,32.753685,-96.86553955
9083,9083,Home Office,Bayamon,Puerto Rico,PR,957.0,18.38011932,-66.18312836
639,639,Home Office,Caguas,Puerto Rico,PR,725.0,18.02536774,-66.61303711
3296,3296,Home Office,Caguas,Puerto Rico,PR,725.0,18.23466301,-66.37059784
3182,3182,Home Office,Caguas,Puerto Rico,PR,725.0,18.26268196,-66.37049866
7864,7864,Home Office,Caguas,Puerto Rico,PR,725.0,18.28279495,-66.37055969
11169,11169,Home Office,Caguas,Puerto Rico,PR,725.0,18.27466202,-66.37058258
5197,5197,Home Office,Caguas,Puerto Rico,PR,725.0,18.2689991,-66.37049866
6122,6122,Home Office,Caguas,Puerto Rico,PR,725.0,18.26138115,-66.37056732
9451,9451,Home Office,Caguas,Puerto Rico,PR,725.0,18.23650742,-66.37051392
542,542,Home Office,Caguas,Puerto Rico,PR,725.0,18.35921478,-66.07779694
11329,11329,Home Office,Caguas,Puerto Rico,PR,725.0,18.29944229,-66.37052155
9353,9353,Home Office,Caguas,Puerto Rico,PR,725.0,18.2988205,-66.37059784
54,54,Home Office,Caguas,Puerto Rico,PR,725.0,18.02538109,-66.61508179
10018,10018,Home Office,Caguas,Puerto Rico,PR,725.0,18.24069786,-66.37055969
4936,4936,Home Office,Caguas,Puerto Rico,PR,725.0,18.21209908,-66.37050629
8707,8707,Home Office,Caguas,Puerto Rico,PR,725.0,18.23131371,-66.37062836
1025,1025,Home Office,Caguas,Puerto Rico,PR,725.0,18.29652023,-66.04867554
5007,5007,Home Office,Caguas,Puerto Rico,PR,725.0,18.24984551,-66.37050629
376,376,Home Office,Caguas,Puerto Rico,PR,725.0,18.24754334,-66.0253067
5417,5417,Home Office,Caguas,Puerto Rico,PR,725.0,18.27673721,-66.37055206
647,647,Consumer,Caguas,Puerto Rico,PR,725.0,18.35907555,-66.07783508
6398,6398,Consumer,Caguas,Puerto Rico,PR,725.0,18.26378822,-66.37052918
2737,2737,Consumer,Caguas,Puerto Rico,PR,725.0,18.29137993,-66.3705368
9554,9554,Consumer,Caguas,Puerto Rico,PR,725.0,18.22172546,-66.37059021
5118,5118,Consumer,Caguas,Puerto Rico,PR,725.0,18.25333214,-66.37051392
2053,2053,Consumer,Caguas,Puerto Rico,PR,725.0,18.24120712,-66.37050629
1339,1339,Consumer,Caguas,Puerto Rico,PR,725.0,18.27825165,-66.37059784
3990,3990,Consumer,Guayama,Puerto Rico,PR,784.0,17.98249054,-66.1126709
7247,7247,Consumer,Caguas,Puerto Rico,PR,725.0,18.22776032,-66.37059021
1273,1273,Consumer,Caguas,Puerto Rico,PR,725.0,18.2362442,-66.37062073
6277,6277,Consumer,Caguas,Puerto Rico,PR,725.0,18.21949196,-66.37052918
7701,7701,Consumer,Caguas,Puerto Rico,PR,725.0,18.25289154,-66.37058258
4126,4126,Consumer,Caguas,Puerto Rico,PR,725.0,18.22985077,-66.37062073
9528,9528,Consumer,Caguas,Puerto Rico,PR,725.0,18.22190094,-66.37052155
6887,6887,Consumer,Caguas,Puerto Rico,PR,725.0,18.22019768,-66.37058258
11254,11254,Consumer,Caguas,Puerto Rico,PR,725.0,18.2626648,-66.3706131
