product_key,product_card_id,product_category_id,product_name,product_price,product_status,category_id,category_name,department_id,department_name,product_description,product_image
365,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,17,Cleats,4,Apparel,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
835,835,37,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,0,37,Electronics,6,Outdoors,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Carolina+Panthers+Golf...
627,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,29,Shop By Sport,5,Golf,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
572,572,26,TYR Boys' Team Digi Jammer,39.99000168,0,26,Girls' Apparel,5,Golf,,http://images.acmesports.sports/TYR+Boys%27+Team+Digi+Jammer
502,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,24,Women's Apparel,5,Golf,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
565,565,26,adidas Youth Germany Black/Red Away Match Soc,70.0,0,26,Girls' Apparel,5,Golf,,http://images.acmesports.sports/adidas+Youth+Germany+Black%2FRed+Away+Match+Soccer+Jersey
191,191,9,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,9,Cardio Equipment,3,Footwear,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
235,235,11,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,0,11,Fitness Accessories,3,Footwear,,http://images.acmesports.sports/Under+Armour+Hustle+Storm+Medium+Duffle+Bag
797,797,36,Hirzl Women's Soffft Flex Golf Glove,17.98999977,0,36,Golf Balls,6,Outdoors,,http://images.acmesports.sports/Hirzl+Women%27s+Soffft+Flex+Golf+Glove
44,44,3,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,0,3,Baseball & Softball,2,Fitness,,http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat
273,273,13,Under Armour Kids' Mercenary Slide,27.98999977,0,13,Electronics,3,Footwear,,http://images.acmesports.sports/Under+Armour+Kids%27+Mercenary+Slide
897,897,40,Team Golf New England Patriots Putter Grip,24.98999977,0,40,Accessories,6,Outdoors,,http://images.acmesports.sports/Team+Golf+New+England+Patriots+Putter+Grip
642,642,29,Columbia Men's PFG Anchor Tough T-Shirt,30.0,0,29,Shop By Sport,5,Golf,,http://images.acmesports.sports/Columbia+Men%27s+PFG+Anchor+Tough+T-Shirt
822,822,37,Titleist Pro V1x High Numbers Golf Balls,47.99000168,0,37,Electronics,6,Outdoors,,http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Golf+Balls
804,804,36,Glove It Women's Imperial Golf Glove,19.98999977,0,36,Golf Balls,6,Outdoors,,http://images.acmesports.sports/Glove+It+Women%27s+Imperial+Golf+Glove
249,249,12,Under Armour Women's Micro G Skulpt Running S,54.97000122,0,12,Boxing & MMA,3,Footwear,,http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe
116,116,6,Nike Men's Comfort 2 Slide,44.99000168,0,6,Tennis & Racquet,2,Fitness,,http://images.acmesports.sports/Nike+Men%27s+Comfort+2+Slide
828,828,37,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,0,37,Electronics,6,Outdoors,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...
905,905,40,Team Golf Texas Longhorns Putter Grip,24.98999977,0,40,Accessories,6,Outdoors,,http://images.acmesports.sports/Team+Golf+Texas+Longhorns+Putter+Grip
917,917,41,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,0,41,Trade-In,6,Outdoors,,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag
818,818,37,Titleist Pro V1x Golf Balls,47.99000168,0,37,Electronics,6,Outdoors,,http://images.acmesports.sports/Titleist+Pro+V1x+Golf+Balls
37,37,3,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,0,3,Baseball & Softball,2,Fitness,,http://images.acmesports.sports/adidas+Kids%27+F5+Messi+FG+Soccer+Cleat
810,810,36,Glove It Women's Mod Oval Golf Glove,19.98999977,0,36,Golf Balls,6,Outdoors,,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+Golf+Glove
564,564,26,Nike Men's Deutschland Weltmeister Winners Bl,30.0,0,26,Girls' Apparel,5,Golf,,http://images.acmesports.sports/Nike+Men%27s+Deutschland+Weltmeister+Winners+Black+T-Shirt
