date_key,date_day,year,month,day,quarter,day_of_week,year_month,month_name
20160511,2016-05-11,2016,5,11,2,3,2016-05,May
20150505,2015-05-05,2015,5,5,2,2,2015-05,May
20160619,2016-06-19,2016,6,19,2,0,2016-06,June
20160514,2016-05-14,2016,5,14,2,6,2016-05,May
20160504,2016-05-04,2016,5,4,2,3,2016-05,May
20170118,2017-01-18,2017,1,18,1,3,2017-01,January
20150813,2015-08-13,2015,8,13,3,4,2015-08,August
20170711,2017-07-11,2017,7,11,3,2,2017-07,July
20150215,2015-02-15,2015,2,15,1,0,2015-02,February
20150217,2015-02-17,2015,2,17,1,2,2015-02,February
20151218,2015-12-18,2015,12,18,4,5,2015-12,December
20151111,2015-11-11,2015,11,11,4,3,2015-11,November
20150507,2015-05-07,2015,5,7,2,4,2015-05,May
20161027,2016-10-27,2016,10,27,4,4,2016-10,October
20170115,2017-01-15,2017,1,15,1,0,2017-01,January
20170805,2017-08-05,2017,8,5,3,6,2017-08,August
20171029,2017-10-29,2017,10,29,4,0,2017-10,October
20150712,2015-07-12,2015,7,12,3,0,2015-07,July
20150303,2015-03-03,2015,3,3,1,2,2015-03,March
20150531,2015-05-31,2015,5,31,2,0,2015-05,May
20151116,2015-11-16,2015,11,16,4,1,2015-11,November
20160115,2016-01-15,2016,1,15,1,5,2016-01,January
20171216,2017-12-16,2017,12,16,4,6,2017-12,December
20180130,2018-01-30,2018,1,30,1,2,2018-01,January
20180102,2018-01-02,2018,1,2,1,2,2018-01,January
20160101,2016-01-01,2016,1,1,1,5,2016-01,January
20160709,2016-07-09,2016,7,9,3,6,2016-07,July
20150816,2015-08-16,2015,8,16,3,0,2015-08,August
20160521,2016-05-21,2016,5,21,2,6,2016-05,May
20150423,2015-04-23,2015,4,23,2,4,2015-04,April
20171015,2017-10-15,2017,10,15,4,0,2017-10,October
20150331,2015-03-31,2015,3,31,1,2,2015-03,March
20161129,2016-11-29,2016,11,29,4,2,2016-11,November
20170110,2017-01-10,2017,1,10,1,2,2017-01,January
20170702,2017-07-02,2017,7,2,3,0,2017-07,July
20150920,2015-09-20,2015,9,20,3,0,2015-09,September
20170516,2017-05-16,2017,5,16,2,2,2017-05,May
20151229,2015-12-29,2015,12,29,4,2,2015-12,December
20161029,2016-10-29,2016,10,29,4,6,2016-10,October
20160829,2016-08-29,2016,8,29,3,1,2016-08,August
20160624,2016-06-24,2016,6,24,2,5,2016-06,June
20180113,2018-01-13,2018,1,13,1,6,2018-01,January
20171003,2017-10-03,2017,10,3,4,2,2017-10,October
20170603,2017-06-03,2017,6,3,2,6,2017-06,June
20160518,2016-05-18,2016,5,18,2,3,2016-05,May
20170704,2017-07-04,2017,7,4,3,2,2017-07,July
20170826,2017-08-26,2017,8,26,3,6,2017-08,August
20170403,2017-04-03,2017,4,3,2,1,2017-04,April
20170216,2017-02-16,2017,2,16,1,4,2017-02,February
20150115,2015-01-15,2015,1,15,1,4,2015-01,January
20170225,2017-02-25,2017,2,25,1,6,2017-02,February
20170721,2017-07-21,2017,7,21,3,5,2017-07,July
20151115,2015-11-15,2015,11,15,4,0,2015-11,November
20160827,2016-08-27,2016,8,27,3,6,2016-08,August
20160422,2016-04-22,2016,4,22,2,5,2016-04,April
20160904,2016-09-04,2016,9,4,3,0,2016-09,September
20170112,2017-01-12,2017,1,12,1,4,2017-01,January
20160830,2016-08-30,2016,8,30,3,2,2016-08,August
20160929,2016-09-29,2016,9,29,3,4,2016-09,September
20170919,2017-09-19,2017,9,19,3,2,2017-09,September
20150903,2015-09-03,2015,9,3,3,4,2015-09,September
20150901,2015-09-01,2015,9,1,3,2,2015-09,September
20150727,2015-07-27,2015,7,27,3,1,2015-07,July
20171020,2017-10-20,2017,10,20,4,5,2017-10,October
20170624,2017-06-24,2017,6,24,2,6,2017-06,June
20170824,2017-08-24,2017,8,24,3,4,2017-08,August
20170708,2017-07-08,2017,7,8,3,6,2017-07,July
20171111,2017-11-11,2017,11,11,4,6,2017-11,November
20170903,2017-09-03,2017,9,3,3,0,2017-09,September
20150411,2015-04-11,2015,4,11,2,6,2015-04,April
20150317,2015-03-17,2015,3,17,1,2,2015-03,March
20170220,2017-02-20,2017,2,20,1,1,2017-02,February
20150211,2015-02-11,2015,2,11,1,3,2015-02,February
20170519,2017-05-19,2017,5,19,2,5,2017-05,May
20170423,2017-04-23,2017,4,23,2,0,2017-04,April
20150222,2015-02-22,2015,2,22,1,0,2015-02,February
20171127,2017-11-27,2017,11,27,4,1,2017-11,November
20180112,2018-01-12,2018,1,12,1,5,2018-01,January
20171124,2017-11-24,2017,11,24,4,5,2017-11,November
20160215,2016-02-15,2016,2,15,1,1,2016-02,February
20171118,2017-11-18,2017,11,18,4,6,2017-11,November
20180109,2018-01-09,2018,1,9,1,2,2018-01,January
20170108,2017-01-08,2017,1,8,1,0,2017-01,January
20160321,2016-03-21,2016,3,21,1,1,2016-03,March
20160122,2016-01-22,2016,1,22,1,5,2016-01,January
20160217,2016-02-17,2016,2,17,1,3,2016-02,February
20151107,2015-11-07,2015,11,7,4,6,2015-11,November
20161105,2016-11-05,2016,11,5,4,6,2016-11,November
20160722,2016-07-22,2016,7,22,3,5,2016-07,July
20160817,2016-08-17,2016,8,17,3,3,2016-08,August
20160730,2016-07-30,2016,7,30,3,6,2016-07,July
20160824,2016-08-24,2016,8,24,3,3,2016-08,August
20171210,2017-12-10,2017,12,10,4,0,2017-12,December
20170602,2017-06-02,2017,6,2,2,5,2017-06,June
20171102,2017-11-02,2017,11,2,4,4,2017-11,November
20170921,2017-09-21,2017,9,21,3,4,2017-09,September
