order_year_month,market,total_orders,total_order_items,total_customers,total_sales,total_profit,total_cost,late_delivery_rate,avg_shipping_days,avg_shipping_variance,delivery_risk_level,business_health_flag
2015-10,Europe,1318,3947,1248,701536.7776005655,74250.86998139699,627285.9076191715,0.5485178616670889,3.4499619964530024,0.5581454269065113,Medium delivery risk,Normal
2015-01,LATAM,1787,5322,1668,945382.1605344161,111660.74013174506,833721.4204026806,0.5411499436302142,3.549041713641488,0.5402104472003006,Medium delivery risk,Normal
2017-04,LATAM,1739,5212,1610,932318.2005746623,115961.06019266677,816357.1403819928,0.5377973906369916,3.5473906369915578,0.5698388334612433,Medium delivery risk,Normal
2017-05,LATAM,1763,5317,1654,993199.0507795747,115014.64001426994,878184.4107653102,0.5347000188075983,3.4568365619710364,0.5394019183750235,Medium delivery risk,Normal
2015-02,LATAM,1585,4729,1500,833012.4292531197,99140.66019588089,733871.7690572412,0.5485303446817509,3.4986255022203427,0.5984351871431592,Medium delivery risk,Normal
2015-10,Pacific Asia,457,1355,451,241594.3226124611,27507.00005844201,214087.32255401826,0.5468634686346864,3.544649446494465,0.5040590405904058,Medium delivery risk,Normal
2016-08,USCA,1417,4288,1356,757246.0983672859,98509.66005337986,658736.4383139045,0.554570895522388,3.4559235074626864,0.5326492537313433,Medium delivery risk,Normal
2016-09,Europe,286,850,284,147489.7016656903,19897.610036588005,127592.09162910211,0.6082352941176471,3.4541176470588235,0.7141176470588235,High delivery risk,Normal
2016-11,Pacific Asia,523,1577,513,280477.69307432044,35610.909920840015,244866.78315348024,0.5516804058338618,3.530754597336715,0.5193405199746354,Medium delivery risk,Normal
2017-01,Africa,409,1258,404,223838.39255571083,30172.549967631992,193665.84258807826,0.5023847376788553,3.5532591414944354,0.48966613672496023,Medium delivery risk,Normal
2015-07,Europe,1763,5299,1628,932936.7902266558,115624.05987866822,817312.7303479842,0.5546329496131346,3.4682015474617853,0.5733157199471598,Medium delivery risk,Normal
2015-08,Europe,1762,5273,1650,925192.8705357662,117979.77030153113,807213.1002342283,0.5567987862696757,3.4695619192110754,0.5962450218092168,Medium delivery risk,Normal
2015-09,Europe,1706,5140,1608,914522.3701434045,113467.940118142,801054.4300252616,0.5669260700389105,3.528793774319066,0.5824902723735409,Medium delivery risk,Normal
2015-06,Europe,1725,5134,1616,920242.0602755728,110147.16031314195,810094.8999624385,0.5410985586287496,3.5229840280483056,0.5375925204518893,Medium delivery risk,Normal
2016-07,USCA,1758,5305,1656,939216.4005996461,119941.72018309165,819274.6804165577,0.5193213949104618,3.445994344957587,0.5319509896324223,Medium delivery risk,Normal
2016-11,Africa,807,2426,779,442795.20527534233,48290.03996756402,394505.16530777595,0.5478153338829349,3.5127782357790602,0.597691673536686,Medium delivery risk,Normal
2017-06,LATAM,942,2797,912,522834.855735365,67017.30019830397,455817.555537056,0.53557382910261,3.515194851626743,0.5101894887379335,Medium delivery risk,Normal
2016-10,Europe,312,980,310,175139.80199382055,22052.319866047997,153087.48212777212,0.5877551020408164,3.561224489795918,0.6153061224489796,Medium delivery risk,Normal
2015-05,Europe,41,121,41,20231.28015721999,2957.4499755879992,17273.830181631998,0.6115702479338843,3.727272727272727,0.8181818181818182,High delivery risk,Normal
2017-01,Pacific Asia,364,1038,360,183690.87203186547,19088.700139273005,164602.17189259204,0.5568400770712909,3.577071290944123,0.6714836223506744,Medium delivery risk,Normal
2017-09,Europe,1723,5189,1620,1027111.7287128939,122462.39015285225,904649.3385600755,0.5423010213914049,3.4621314318751204,0.5320871073424552,Medium delivery risk,Normal
2015-12,Pacific Asia,1805,5371,1685,950526.9205523089,110641.54988098917,839885.3706713116,0.5468255445913238,3.4641593744181716,0.5652578663191212,Medium delivery risk,Normal
2017-08,Europe,1768,5305,1637,996507.8807475757,131501.16021114914,865006.7205364602,0.564373232799246,3.5147973609802072,0.611875589066918,Medium delivery risk,Normal
2015-11,Pacific Asia,1729,5235,1604,924602.570546612,104427.3601195288,820175.2104270775,0.5426934097421203,3.510601719197708,0.5621776504297994,Medium delivery risk,Normal
2016-09,Africa,869,2587,845,455935.2249010941,65462.67984506303,390472.54505602847,0.5295709315809818,3.4669501352918437,0.5141090065713181,Medium delivery risk,Normal
2016-10,Pacific Asia,622,1862,606,322445.3634241839,41592.009987786994,280853.3534363961,0.5644468313641245,3.475295381310419,0.6680988184747583,Medium delivery risk,Normal
2017-01,Europe,188,563,186,102391.28101703008,11721.140051398994,90670.14096563097,0.5754884547069272,3.6145648312611014,0.6269982238010657,Medium delivery risk,Normal
2015-03,LATAM,1781,5362,1654,944050.1104723456,113778.21019112704,830271.9002812247,0.5475568817605371,3.4912346139500188,0.571988064155166,Medium delivery risk,Normal
2017-02,LATAM,1614,4906,1491,891924.2896926048,115111.07009721405,776813.2195953877,0.5466775377089278,3.509580105992662,0.5933550754178557,Medium delivery risk,Normal
2017-03,LATAM,1782,5347,1674,942290.4306515867,118688.90021144968,823601.5304401338,0.5526463437441556,3.4851318496353096,0.5642416308210211,Medium delivery risk,Normal
2018-01,Pacific Asia,2123,2123,2123,297952.0509945649,33841.88997708604,264110.16101747914,0.5628827131417805,3.5040037682524727,0.6128120584079133,Medium delivery risk,Normal
2017-12,Pacific Asia,2124,2124,2124,452741.53087499144,65837.62974494099,386903.90113004984,0.551789077212806,3.498587570621469,0.5772128060263654,Medium delivery risk,Normal
2015-05,LATAM,1735,5236,1618,923708.4897988988,109190.45016768911,814518.0396312188,0.5494652406417112,3.4692513368983957,0.55061115355233,Medium delivery risk,Normal
2016-12,Pacific Asia,560,1663,543,296349.50340740033,31404.510011016977,264944.99339638307,0.533974744437763,3.411906193625977,0.4768490679494889,Medium delivery risk,Normal
2017-06,Europe,734,2154,716,404611.11443147215,43381.990106381985,361229.12432508846,0.5343546889507892,3.511142061281337,0.5250696378830083,Medium delivery risk,Normal
2016-08,Europe,40,133,40,24404.050239489996,1194.289989135,23209.760250355,0.42857142857142855,3.2781954887218046,0.12781954887218044,Low delivery risk,Normal
2016-04,Pacific Asia,50,159,50,28736.630371019994,5964.789942638998,22771.840428380998,0.559748427672956,3.4842767295597485,0.8490566037735849,Medium delivery risk,Normal
2016-09,USCA,58,193,58,29695.620269829982,1737.1000001459997,27958.520269684006,0.6010362694300518,3.1968911917098444,0.6010362694300518,High delivery risk,Normal
2015-04,LATAM,1710,5126,1596,912004.4002612957,108083.67995662923,803920.7203046745,0.538431525555989,3.53667577058135,0.5474053843152555,Medium delivery risk,Normal
2017-11,Pacific Asia,1373,1373,1373,382239.60019835946,48429.55007341603,333810.050124944,0.5477057538237436,3.521485797523671,0.5440640932265113,Medium delivery risk,Normal
2016-12,Africa,820,2476,794,436541.50468204543,50254.690007882986,386286.81467416015,0.5989499192245558,3.5759289176090467,0.6631663974151858,Medium delivery risk,Normal
2016-03,Pacific Asia,1764,5210,1647,921487.7305599274,101259.9902498099,820227.7403101213,0.5575815738963532,3.471017274472169,0.5583493282149712,Medium delivery risk,Normal
2016-10,USCA,58,173,58,28720.44029776999,4002.219948852,24718.220348918,0.36416184971098264,3.0809248554913293,0.005780346820809248,Low delivery risk,Normal
2016-12,Europe,313,921,310,162640.51163129043,18255.599909726006,144384.91172156416,0.5211726384364821,3.3268186753528775,0.4723127035830619,Medium delivery risk,Normal
2017-01,LATAM,743,2240,721,395037.67408732185,49674.90013456601,345362.77395275445,0.5428571428571428,3.580357142857143,0.503125,Medium delivery risk,Normal
2016-08,Pacific Asia,144,429,144,73766.40090364998,2269.7900357080007,71496.61086794203,0.5920745920745921,3.4825174825174825,0.5547785547785548,Medium delivery risk,Normal
2016-11,USCA,68,219,67,43343.07050171995,6924.610019624002,36418.460482096,0.5753424657534246,3.6986301369863015,0.867579908675799,Medium delivery risk,Normal
2016-01,Pacific Asia,1772,5317,1643,940283.6303754058,106780.95022869686,833502.6801467121,0.5557645288696633,3.4797818318600715,0.5956366372014293,Medium delivery risk,Normal
2016-06,USCA,1690,5054,1592,901448.010186071,104196.07010811887,797251.9400779515,0.5684606252473289,3.544321329639889,0.6383062920459043,Medium delivery risk,Normal
2017-11,Europe,682,682,682,181153.8699025999,19361.700131266003,161792.16977133404,0.5571847507331378,3.5131964809384164,0.6510263929618768,Medium delivery risk,Normal
2016-05,USCA,1763,5302,1663,924978.220743859,110716.12011133463,814262.1006325284,0.5565824217276499,3.4700113164843454,0.5922293474160694,Medium delivery risk,Normal
